,moviename,year,description,cast,imdb_rating,imdb_ratingbasedon,tomatoes_audscore,tomatoes_rating,tomatoes_ratingbasedon,rank
165,Gran Torino,2008,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.","Clint Eastwood (dir.), Clint Eastwood, Bee Vang",8.1,"660,196",,,,166
166,Come and See,1985,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.","Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",8.1,"41,997",,,,167
167,Finding Nemo,2003,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",8.1,"850,362",,,,168
168,The Deer Hunter,1978,An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",8.1,"279,986",,,,169
169,The Big Lebowski,1998,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.","Joel Coen (dir.), Jeff Bridges, John Goodman",8.1,"650,952",,,,170
170,Sherlock Jr.,1924,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.","Buster Keaton (dir.), Buster Keaton, Kathryn McGuire",8.1,"31,804",95%,4.3/5,"6,866",171
171,Shutter Island,2010,"In 1954, a U.S. Marshal investigates the disappearance of a murderer, who escaped from a hospital for the criminally insane.","Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",8.1,"983,057",,,,172
172,Kill Bill: Vol. 1,2003,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","Quentin Tarantino (dir.), Uma Thurman, David Carradine",8.1,"887,522",,,,173
173,Cool Hand Luke,1967,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.","Stuart Rosenberg (dir.), Paul Newman, George Kennedy",8.1,"145,813",,,,174
174,Tokyo Story,1953,An old couple visit their children and grandchildren in the city; but the children have little time for them.,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",8.1,"42,498",,,,175
175,Rebecca,1940,A self-conscious bride is tormented by the memory of her husband's dead first wife.,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",8.1,"109,021",,,,176
176,Mary and Max,2009,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.","Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",8.1,"148,500",,,,177
177,Hacksaw Ridge,2016,World War II American Army Medic,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",8.1,"353,245",,,,178
178,How to Train Your Dragon,2010,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.","Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",8.1,"594,970",,,,179
179,Gone Girl,2014,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","David Fincher (dir.), Ben Affleck, Rosamund Pike",8.1,"744,152",,,,180
180,Jurassic Park,1993,"During a preview tour, a theme park suffers a major power breakdown that allows its cloned dinosaur exhibits to run amok.","Steven Spielberg (dir.), Sam Neill, Laura Dern",8.1,"766,606",,,,181
181,Relatos salvajes,2014,Six short stories that explore the extremities of human behavior involving people in distress.,"Damián Szifron (dir.), Darío Grandinetti, María Marull",8.1,"146,527",,,,182
182,Sunrise,1927,An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.,"F.W. Murnau (dir.), George O'Brien, Janet Gaynor",8.1,"42,361",92%,4.4/5,"9,553",183
183,Into the Wild,2007,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.","Sean Penn (dir.), Emile Hirsch, Vince Vaughn",8.1,"516,553",,,,184
184,The Truman Show,1998,An insurance salesman discovers his whole life is actually a reality TV show.,"Peter Weir (dir.), Jim Carrey, Ed Harris",8.1,"820,916",,,,185
185,In the Name of the Father,1993,A man's coerced confession to an IRA bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",8.1,"138,886",,,,186
186,Stalker,1979,A guide leads two men through an area known as the Zone to find a room that grants wishes.,"Andrei Tarkovsky (dir.), Alisa Freyndlikh, Aleksandr Kaydanovskiy",8.1,"95,195",,,,187
187,The Grand Budapest Hotel,2014,"The adventures of Gustave H, a legendary concierge at a famous hotel from the fictional Republic of Zubrowka between the first and second World Wars, and Zero Moustafa, the lobby boy who becomes his most trusted friend.","Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",8.1,"620,219",,,,188
188,Stand by Me,1986,"After the death of a friend, a writer recounts a boyhood journey to find the body of a missing boy.","Rob Reiner (dir.), Wil Wheaton, River Phoenix",8.1,"328,247",,,,189
189,It Happened One Night,1934,A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.,"Frank Capra (dir.), Clark Gable, Claudette Colbert",8.1,"83,266",,,,190
190,Platoon,1986,A young soldier in Vietnam faces a moral crisis when confronted with the horrors of war and the duality of man.,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",8.1,"346,152",93%,3.9/5,"239,550",191
191,Life of Brian,1979,"Born on the original Christmas in the stable next door to Jesus, Brian of Nazareth spends his life being mistaken for a messiah.","Terry Jones (dir.), Graham Chapman, John Cleese",8.1,"328,372",,,,192
192,Network,1976,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.,"Sidney Lumet (dir.), Faye Dunaway, William Holden",8.1,"128,748",93%,4.2/5,"36,180",193
193,The Bandit,1996,"Baran the Bandit, released from prison after 35 years searches for vengeance and his lover.","Yavuz Turgul (dir.), Sener Sen, Ugur Yücel",8.1,"54,058",,,,194
194,Memories of Murder,2003,"In a small Korean province in 1986, three detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.","Joon-ho Bong (dir.), Kang-ho Song, Sang-kyung Kim",8.1,"97,420",,,,195
195,Persona,1966,A nurse is put in charge of a mute actress and finds that their personae are melding together.,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",8.1,"84,822",94%,4.4/5,"25,700",196
196,Ben-Hur,1959,"When a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.","William Wyler (dir.), Charlton Heston, Jack Hawkins",8.1,"198,193",,,,197
197,Hotel Rwanda,2004,Paul Rusesabagina was a hotel manager who housed over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda.,"Terry George (dir.), Don Cheadle, Sophie Okonedo",8.1,"309,230",,,,198
198,12 Years a Slave,2013,"In the antebellum United States,","Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",8.1,"565,343",,,,199
199,Million Dollar Baby,2004,A determined woman works with a hardened boxing trainer to become a professional.,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",8.1,"577,464",,,,200
200,Andrei Rublev,1966,"The life, times and afflictions of the fifteenth-century Russian iconographer.","Andrei Tarkovsky (dir.), Anatoliy Solonitsyn, Ivan Lapikov",8.1,"37,636",94%,4.5/5,"9,961",201
201,Before Sunrise,1995,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.","Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.1,"233,006",,,,202
202,The Wages of Fear,1953,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.","Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel",8.1,"47,300",,,,203
203,The Passion of Joan of Arc,1928,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.","Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",8.1,"39,580",,,,204
204,Rush,2013,The merciless 1970s rivalry between Formula One rivals,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",8.1,"385,303",,,,205
205,Bohemian Rhapsody,2018,The story of the legendary rock band,"Bryan Singer (dir.), Rami Malek, Lucy Boynton",8.1,"242,147",,,,206
206,Mad Max: Fury Road,2015,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.","George Miller (dir.), Tom Hardy, Charlize Theron",8.1,"761,099",,,,207
207,The 400 Blows,1959,"A young boy, left without attention, delves into a life of petty crime.","François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",8.1,"90,382",,,,208
208,Prisoners,2013,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.","Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",8.1,"513,998",87%,4.1/5,113,209
209,Hachi: A Dog's Tale,2009,A college professor's bond with the abandoned dog he takes into his home.,"Lasse Hallström (dir.), Richard Gere, Joan Allen",8.1,"217,999",,,,210
210,Spotlight,2015,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.","Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",8.1,"353,854",,,,211
211,Amores Perros,2000,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.","Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",8.1,"204,369",,,,212
212,Logan,2017,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.","James Mangold (dir.), Hugh Jackman, Patrick Stewart",8.1,"535,751",,,,213
213,Catch Me If You Can,2002,"A seasoned FBI agent pursues Frank Abagnale Jr. who, before his 19th birthday, successfully forged millions of dollars' worth of checks while posing as a Pan Am pilot, a doctor, and a legal prosecutor.","Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",8.1,"699,108",,,,214
214,The Princess Bride,1987,"While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.","Rob Reiner (dir.), Cary Elwes, Mandy Patinkin",8.1,"351,589",,,,215
215,Rang De Basanti,2006,"The story of six young Indians who assist an English Woman to film a documentary on the extremist freedom fighters from their past, and the events that lead them to relive the long forgotten saga of freedom.","Rakeysh Omprakash Mehra (dir.), Aamir Khan, Soha Ali Khan",8.1,"98,627",,,,216
216,Nausicaä of the Valley of the Wind,1984,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,"Hayao Miyazaki (dir.), Sumi Shimamoto, Mahito Tsujimura",8.0,"125,335",,,,217
217,Harry Potter and the Deathly Hallows: Part 2,2011,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.","David Yates (dir.), Daniel Radcliffe, Emma Watson",8.0,"677,613",,,,218
218,Butch Cassidy and the Sundance Kid,1969,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.","George Roy Hill (dir.), Paul Newman, Robert Redford",8.0,"184,178",,,,219
219,Rocky,1976,A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",8.0,"463,446",,,,220
220,Barry Lyndon,1975,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",8.0,"129,602",,,,221
221,"Monsters, Inc.",2001,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.","Pete Docter (dir.), Billy Crystal, John Goodman",8.0,"723,451",,,,222
222,The Grapes of Wrath,1940,"A poor Midwest family is forced off their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression.","John Ford (dir.), Henry Fonda, Jane Darwell",8.0,"79,604",,,,223
223,The Maltese Falcon,1941,"A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.","John Huston (dir.), Humphrey Bogart, Mary Astor",8.0,"138,306",,,,224
224,Dead Poets Society,1989,English teacher John Keating inspires his students to look at poetry with a different perspective of authentic knowledge and feelings.,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",8.0,"358,959",,,,225
225,The Terminator,1984,"A seemingly indestructible android is sent from 2029 to 1984 to assassinate a waitress, whose unborn son will lead humanity in a war against the machines, while a soldier from that war is sent to protect her at all costs.","James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.0,"715,860",,,,226
226,Donnie Darko,2001,"A troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes, after he narrowly escapes a bizarre accident.","Richard Kelly (dir.), Jake Gyllenhaal, Jena Malone",8.0,"687,822",,,,227
227,Gandhi,1982,"Gandhi's character is fully explained as a man of nonviolence. Through his patience, he is able to drive the British out of the subcontinent. And the stubborn nature of Jinnah and his commitment towards Pakistan is portrayed.","Richard Attenborough (dir.), Ben Kingsley, John Gielgud",8.0,"204,464",92%,4/5,"49,707",228
228,Diabolique,1955,The wife and mistress of a loathed school principal hatch a plan to murder him while having the perfect alibi. They carry out the plan...but then his body disappears.,"Henri-Georges Clouzot (dir.), Simone Signoret, Véra Clouzot",8.0,"55,454",34%,2.7/5,"6,935",229
229,La Haine,1995,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",8.0,"129,679",,,,230
230,Groundhog Day,1993,A weatherman finds himself inexplicably living the same day over and over again.,"Harold Ramis (dir.), Bill Murray, Andie MacDowell",8.0,"532,288",,,,231
231,In the Mood for Love,2000,"Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.","Kar-Wai Wong (dir.), Tony Chiu-Wai Leung, Maggie Cheung",8.0,"102,919",,,,232
232,The Wizard of Oz,1939,Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well.,"Victor Fleming (dir.), Judy Garland, Frank Morgan",8.0,"346,629",,,,233
233,The Help,2011,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.","Tate Taylor (dir.), Emma Stone, Viola Davis",8.0,"385,775",,,,234
234,Jaws,1975,"When a killer shark unleashes chaos on a beach resort, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.","Steven Spielberg (dir.), Roy Scheider, Robert Shaw",8.0,"500,871",90%,3.5/5,"943,309",235
235,The Handmaiden,2016,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.","Chan-wook Park (dir.), Min-hee Kim, Jung-woo Ha",8.0,"73,535",,,,236
236,The Nights of Cabiria,1957,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,"Federico Fellini (dir.), Giulietta Masina, François Périer",8.0,"37,867",,,,237
237,Before Sunset,2004,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.","Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.0,"203,671",,,,238
238,Castle in the Sky,1986,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,"Hayao Miyazaki (dir.), Anna Paquin, James Van Der Beek",8.0,"124,665",91%,4.1/5,"79,351",239
239,"Paris, Texas",1984,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.","Wim Wenders (dir.), Harry Dean Stanton, Nastassja Kinski",8.0,"72,224",,,,240
240,Tangerines,2013,"War in Georgia, Apkhazeti region in 1990. An Estonian man Ivo has stayed behind to harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo is forced to take him in.","Zaza Urushadze (dir.), Lembit Ulfsak, Elmo Nüganen",8.0,"32,319",89%,4.1/5,"3,420",241
241,Gangs of Wasseypur,2012,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.","Anurag Kashyap (dir.), Manoj Bajpayee, Richa Chadha",8.0,"67,405",,,,242
242,The Best Years of Our Lives,1946,Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed.,"William Wyler (dir.), Myrna Loy, Dana Andrews",8.0,"52,398",,,,243
243,PK,2014,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.,"Rajkumar Hirani (dir.), Aamir Khan, Anushka Sharma",8.0,"133,428",85%,4.2/5,"4,356",244
244,Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.","Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush",8.0,"950,081",,,,245
245,Guardians of the Galaxy,2014,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,"James Gunn (dir.), Chris Pratt, Vin Diesel",8.0,"908,423",,,,246
246,Paper Moon,1973,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.","Peter Bogdanovich (dir.), Ryan O'Neal, Tatum O'Neal",8.0,"37,284",,,,247
247,Drishyam,2015,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.","Nishikant Kamat (dir.), Ajay Devgn, Shriya Saran",8.0,"52,763",89%,4.3/5,601,248
248,8½,1963,A harried movie director retreats into his memories and fantasies.,"Federico Fellini (dir.), Marcello Mastroianni, Anouk Aimée",8.0,"97,936",,,,249
249,Three Colors: Red,1994,A model discovers her neighbor is keen on invading people's privacy.,"Krzysztof Kieslowski (dir.), Irène Jacob, Jean-Louis Trintignant",8.0,"78,163",,,,250
